"","startq","allP","test1"
"1","0.005",19.49,12.07
"2","0.005",17.56,13.09
"3","0.005",20.09,16.54
"4","0.010",17.78,13.78
"5","0.010",15.93,12.58
"6","0.010",19.31,14.74
"7","0.050",15.39,12.54
"8","0.050",14.9,11.13
"9","0.050",16.48,12.93
"10","0.100",14.03,11.15
"11","0.100",13.84,11.19
"12","0.100",14.93,11.9
"13","0.500",13.21,10.85
"14","0.500",12.98,11.12
"15","0.500",12.36,11.12
"16","1.000",12.04,10.33
"17","1.000",11.98,10.78
"18","1.000",11.24,10.07
"19","5.000",10.07,10.25
"20","5.000",10.39,NA
