"","sampleID.exp","test1.exp","allP.exp","test1.exp.ln","allP.exp.ln"
"1","10_A_65",19.54,23.23,2.97246364661464,3.14544454678232
"2","10_C_67",19.09,22.59,2.94916463773766,3.11750733047991
"3","10_D_68",19.55,22.85,2.97297528643137,3.12895111734021
"4","162_A_941",17.86,23.24,2.88256357544835,3.14587493198371
"5","162_B_942",17.8,24.03,2.87919845729804,3.17930304974838
"6","162_C_943",17.5,17.09,2.86220088092947,2.8384934971275
"7","162_D_944",17.8,21.54,2.87919845729804,3.06991167172824
"8","166_B_966",19.8,12.92,2.98568193770049,2.55877649835446
"9","166_C_967",19.1,22.49,2.94968833505258,3.11307076597122
"10","170_A_989",18.9,20.68,2.9391619220656,3.02916704964023
"11","170_B_990",18.07,24.49,2.89425310460414,3.19826487096408
"12","170_C_991",18.27,20.42,2.90526037038992,3.01651481273652
"13","170_D_992",18.53,21.39,2.91939104029727,3.06292352309431
"14","188_A_1197",20,21.93,2.99573227355399,3.0878555624298
"15","188_B_1198",22.71,28.77,3.12280535611747,3.35933317756346
"16","19_A_125",21.44,23.58,3.0652583362026,3.16039889510922
"17","19_B_126",19.55,23.99,2.97297528643137,3.1776370768516
"18","19_C_127",18.9,23.76,2.9391619220656,3.16800349449444
"19","19_D_128",21.67,23.3,3.07592881554827,3.14845336057165
"20","201_A_1269",22.46,22.19,3.1117359493103,3.0996417369445
"21","201_B_1270",19.16,22.55,2.95282477254271,3.11573506594869
"22","201_D_1272",20.42,24.52,3.01651481273652,3.19948911106801
"23","206_A_1329",18.95,22.65,2.94180393152844,3.12015985192904
"24","206_B_1330",18.67,19.52,2.92691795755363,2.97143958098495
"25","206_C_1331",21.35,16.27,3.06105173967463,2.78932292123095
"26","209_A_1365",18.53,11.47,2.91939104029727,2.43973493114128
"27","209_B_1366",18.4,11.66,2.91235066461494,2.45616418092235
"28","209_C_1367",18.65,23.54,2.92584614608982,3.15870110183213
"29","209_D_1368",22.23,11.13,3.10144272797611,2.40964416528745
"30","212_A_1401",20.78,23.12,3.03399098567108,3.14069804380418
"31","212_B_1402",20.08,13.25,2.99972429482353,2.58399755243223
"32","212_C_1403",19.53,22.1,2.97195174488859,3.09557760852371
"33","214_A_1425",22.82,12.49,3.12763734443393,2.52492832413749
"34","214_B_1426",18.37,15.55,2.91071889922703,2.74406063862524
"35","214_C_1427",19.83,23.63,2.9871959425317,3.16251709119882
"36","214_D_1428",23.29,22.93,3.14802408389625,3.13244609686981
"37","221_B_1510",19.92,23.48,2.99172425215645,3.1561489949599
"38","221_C_1511",24.82,32.92,3.21164977977646,3.49408037580887
"39","231_A_1629",20.03,23.45,2.99723114967773,3.15487049489229
"40","231_B_1630",22,20.77,3.09104245335832,3.03350963788802
"41","231_C_1631",19.44,11.05,2.96733279903229,2.40243042796376
"42","233_B_1654",20.14,28.41,3.00270788729042,3.3467411958661
"43","233_C_1655",20.81,29.82,3.03543364040554,3.39517930933659
"44","236_A_1689",20.93,18.51,3.04118353645791,2.91831112658541
"45","236_C_1691",21.36,19.99,3.06152001409199,2.99523214851231
"46","236_D_1692",23.5,26.6,3.15700042115011,3.28091121578765
"47","242_A_1761",19.23,22.47,2.95647155960069,3.11218108619724
"48","242_B_1762",19.22,23.75,2.95595140354215,3.16758253048065
"49","242_C_1763",18.52,22.46,2.91885122921803,3.1117359493103
"50","242_D_1764",23.45,26.22,3.15487049489229,3.26652247833555
"51","243_A_1793",22.19,27.75,3.0996417369445,3.32323584019244
"52","243_B_1794",21,28.89,3.04452243772342,3.36349551447814
"53","243_C_1795",20.25,17.63,3.00815479355255,2.86960199640978
"54","243_D_1796",21.42,25.7,3.0643250650196,3.24649099190117
"55","245_A_1797",27.83,13.78,3.3261145755378,2.62321826558551
"56","245_B_1798",20.9,26.82,3.03974915897077,3.28914787785353
"57","245_D_1800",27.3,31.3,3.30688670219091,3.44361809754611
"58","248_A_1833",23.53,23.46,3.15827620273927,3.15529684322533
"59","248_B_1834",21.18,29.14,3.05305734017326,3.37211180076706
"60","248_C_1835",19.6,21.9,2.97552956623647,3.08648663682246
"61","248_D_1836",20,25.73,2.99573227355399,3.24765762629365
"62","250_B_1858",24.32,26.51,3.19129905709797,3.27752202030093
"63","250_C_1859",23.03,30.8,3.13679771383259,3.42751468997953
"64","30_A_185",18.93,20.41,2.94074796522123,3.01602497682175
"65","30_B_186",24.27,30.34,3.18924101973851,3.41246697392039
"66","30_C_187",18.41,24.91,2.91289399524499,3.21526932927409
"67","30_D_188",20.45,27.58,3.01798288248881,3.31709087236516
"68","35_A_221",22.43,26.51,3.11039934853212,3.27752202030093
"69","35_C_223",18.38,22.64,2.91126311692754,3.11971825333498
"70","35_D_224",20.55,22.65,3.02286094094224,3.12015985192904
"71","46_A_281",18.13,21.65,2.89756802476676,3.0750054544485
"72","46_B_282",19.03,11.25,2.94601668130806,2.42036812865043
"73","46_C_283",19.21,25.17,2.95543097678047,3.22565280914722
"74","46_D_284",21.35,26.54,3.06105173967463,3.27865302890406
"75","70_A_425",25.7,22.06,3.24649099190117,3.09376601382536
"76","70_B_426",18.65,13.95,2.92584614608982,2.63547950826737
"77","70_C_427",18.35,15.66,2.90962957450058,2.75110969056266
"78","70_D_428",24.81,12.59,3.21124679770371,2.53290284805626
